text,label
"Subject: Unclaimed funds notification - claim your inheritance

Dear Customer,

This is an official transaction announcement. Your prize money is ready for bank wire transfer.

Send your full banking details to confirm transfer.

Yours truly,
Customer Care Agent",spam
"Subject: Order confirmation for Norton Antivirus renewal

URGENT:

Thank you for your business. Your automatic renewal payment of $499.99 for Geek Squad Premium support has been successfully charged.

Cancel your auto-renewal by logging in here: http://cancel-subscription-direct.org

Sincerely,
Dispute Division",spam
"Subject: Your invoice is ready for payment

URGENT:

This email confirms your payment of $649.99 to Coinbase Inc. using your PayPal account balance. The transaction will appear on your statement shortly.

To dispute this invoice or request a refund, visit: http://invoice-dispute-help.com

Cheers,
Wealth Advisors",spam
"Subject: Order cheap Viagra & Cialis online - no prescription

ATTENTION:

Stop paying retail prices for your daily prescriptions. We match and beat any online pharmacy prices.

Choose your package size here: http://generic-rx-deals.com

Yours truly,
Customer Care Agent",spam
"Subject: Your online pharmacy prescription is ready

Urgent Notification,

Join our pharmacy club today and get a permanent 15% discount on all health and wellness products.

Get free shipping on orders over $50: http://pill-shop-direct.org

Thanks,
Shipping Department",spam
"Subject: Fast international shipping on medical supplies

Dear Friend,

Stop paying retail prices for your daily prescriptions. We match and beat any online pharmacy prices.

Click here to order without prescription: http://easy-meds-online.net

Yours truly,
Customer Care Agent",spam
"Subject: Your email address won a lottery prize!

Dear Friend,

Your email address was drawn as the winner of the grand prize in our promotional sweepstakes. The funds have been held in escrow.

Claim your prize online by entering code 'WINNER': http://claim-draw-cash.org

Sincerely,
Dispute Division",spam
"Subject: Get cash back on all your online purchases

Important Notice:

Lower your monthly home payments significantly by refinancing your mortgage today. Rates have reached historic lows.

Order your trial bottle today: http://slim-burn-diet.org

Regards,
Customer Support Team",spam
"Subject: Your online pharmacy prescription is ready

Dear Account Owner,

Order authentic medications manufactured in FDA-approved facilities with discreet packaging.

Shop our online pharmacy now: http://rx-pharmacy-deals.com

Sincerely,
Security Division",spam
"Subject: Invoice #87920 for your Geek Squad service

URGENT:

This email confirms your payment of $649.99 to Coinbase Inc. using your PayPal account balance. The transaction will appear on your statement shortly.

If you did not authorize this charge, call our support desk immediately at +1-800-555-0199.

Yours truly,
Customer Care Agent",spam
"Subject: Get cash back on all your online purchases

Important Notice:

Are you struggling with debt? We offer fast, easy debt consolidation loans with low interest rates. No credit check required.

Order your trial bottle today: http://slim-burn-diet.org

Best regards,
Accounts Department",spam
"Subject: Order cheap Viagra & Cialis online - no prescription

URGENT:

Order authentic medications manufactured in FDA-approved facilities with discreet packaging.

Shop our online pharmacy now: http://rx-pharmacy-deals.com

Sincerely,
Security Division",spam
"Subject: Fast international shipping on medical supplies

Urgent Notification,

Join our pharmacy club today and get a permanent 15% discount on all health and wellness products.

Choose your package size here: http://generic-rx-deals.com

Best regards,
Accounts Department",spam
"Subject: Suspicious activity detected on your account

ATTENTION:

Our billing department was unable to process your monthly subscription payment. Please update your payment method to avoid service interruption.

Click here to unlock your account: http://secure-login-portal.net/verify

Best Wishes,
Lottery Coordinators",spam
"Subject: Congratulations: You are our selected winner

Dear Friend,

The international lottery foundation has approved your cash release. Please confirm your receipt.

Claim your prize online by entering code 'WINNER': http://claim-draw-cash.org

Best Wishes,
Lottery Coordinators",spam
"Subject: Exclusive Bitcoin investment opportunity - 200% returns

URGENT:

We have initiated an automatic distribution of our new utility token. Sign up to claim your share before the offer expires.

Get access to the trading bot here: http://ai-trading-signals.com

Sincerely,
Dispute Division",spam
"Subject: Exclusive Bitcoin investment opportunity - 200% returns

Valued Member,

Our researchers have identified the next cryptocurrency that is set to skyrocket by 10,000% next week. Early access is open now.

Get access to the trading bot here: http://ai-trading-signals.com

Best regards,
Accounts Department",spam
"Subject: Official notification: Cash prize payout

Valued Member,

Your email address was drawn as the winner of the grand prize in our promotional sweepstakes. The funds have been held in escrow.

To file your claim, contact our claims agent: http://lottery-claims-agent.net

Thanks,
Shipping Department",spam
"Subject: Discount pharmacy deals - get yours now

Hello,

Order authentic medications manufactured in FDA-approved facilities with discreet packaging.

Reply 'ORDER' to receive a customized quote.

Sincerely,
Security Division",spam
"Subject: Subscription auto-renewal notification

Urgent Notification,

We have successfully renewed your antivirus license for the next 3 years. The fee of $299.99 has been billed to your card on file.

Cancel your auto-renewal by logging in here: http://cancel-subscription-direct.org

Cheers,
Wealth Advisors",spam
"Subject: Your account has been temporarily locked

Dear Winner,

Your cloud storage account is running out of space and backup services have been suspended. Verify your storage plan now.

Please verify your identity here: http://account-verification-online.com/auth

Cheers,
Wealth Advisors",spam
"Subject: Congratulations: You are our selected winner

Congratulations!

You have been selected as the winner of a brand new luxury vehicle and $50,000 cash. Claim details are attached.

Reply to this email with your name, phone number, and physical address.

Regards,
Customer Support Team",spam
"Subject: Get cash back on all your online purchases

Dear Account Owner,

Introduce our new dietary supplement that burns fat while you sleep. Clinically tested and recommended by top doctors.

Apply in just 3 minutes at: http://unsecured-loans-quick.com

Regards,
Customer Support Team",spam
"Subject: Your account has been temporarily locked

ATTENTION:

We detected a login attempt from a new device in a different country. For security reasons, we have temporarily restricted your access.

Please verify your identity here: http://account-verification-online.com/auth

Sincerely,
Dispute Division",spam
"Subject: Your email address won a lottery prize!

Urgent Notification,

Your email address was drawn as the winner of the grand prize in our promotional sweepstakes. The funds have been held in escrow.

Reply to this email with your name, phone number, and physical address.

Cheers,
Wealth Advisors",spam
"Subject: Save up to 75% on our premium services

Dear Account Owner,

Lower your monthly home payments significantly by refinancing your mortgage today. Rates have reached historic lows.

Apply in just 3 minutes at: http://unsecured-loans-quick.com

Thanks,
Shipping Department",spam
"Subject: Get cash back on all your online purchases

ATTENTION:

Lower your monthly home payments significantly by refinancing your mortgage today. Rates have reached historic lows.

Calculate your new mortgage rate here: http://refinance-your-home.net

Yours truly,
Customer Care Agent",spam
"Subject: Fast international shipping on medical supplies

Dear Account Owner,

We have all generic medications in stock, including sleep aids, pain relievers, and muscle relaxers.

Click here to order without prescription: http://easy-meds-online.net

Thanks,
Shipping Department",spam
"Subject: Security Alert: Unusual login attempt

Dear Account Owner,

Our billing department was unable to process your monthly subscription payment. Please update your payment method to avoid service interruption.

Click here to unlock your account: http://secure-login-portal.net/verify

Thanks,
Shipping Department",spam
"Subject: Your crypto portfolio has been credited with free tokens

Dear Winner,

Our researchers have identified the next cryptocurrency that is set to skyrocket by 10,000% next week. Early access is open now.

Reply to this email with your crypto wallet address to receive your tokens.

Sincerely,
Dispute Division",spam
"Subject: Save big on prescription medications

Important Notice:

Join our pharmacy club today and get a permanent 15% discount on all health and wellness products.

Choose your package size here: http://generic-rx-deals.com

Thanks,
Shipping Department",spam
"Subject: Your invoice is ready for payment

ATTENTION:

We have successfully renewed your antivirus license for the next 3 years. The fee of $299.99 has been billed to your card on file.

Click here to download your detailed PDF statement: http://billing-statements-online.net

Yours truly,
Customer Care Agent",spam
"Subject: The next big meme coin is launching - buy now

Important Notice:

Our researchers have identified the next cryptocurrency that is set to skyrocket by 10,000% next week. Early access is open now.

Start your investment with as little as $100: http://crypto-wealth-growth.com

Thanks,
Shipping Department",spam
"Subject: Lower your mortgage rates today!

Congratulations!

Earn cash back every time you shop at your favorite online stores. Sign up to get a free $10 registration bonus.

Browse our luxury catalog now: http://luxury-replicas-direct.com

Yours truly,
Customer Care Agent",spam
"Subject: Your email address won a lottery prize!

ATTENTION:

We are contact you regarding an unclaimed estate of a deceased relative who shares your last name. We need your cooperation to file a claim.

Download the claim form: http://inheritance-fund-transfer.net/forms

Sincerely,
Dispute Division",spam
"Subject: Receipt for your recent Amazon purchase

Dear Friend,

We have successfully renewed your antivirus license for the next 3 years. The fee of $299.99 has been billed to your card on file.

If you did not authorize this charge, call our support desk immediately at +1-800-555-0199.

Regards,
Customer Support Team",spam
"Subject: Double your Ethereum in 24 hours - guaranteed

Congratulations!

Our automated AI trading algorithm has been consistently generating 5% daily returns. Invest today and start earning passive income.

Reply to this email with your crypto wallet address to receive your tokens.

Sincerely,
Security Division",spam
"Subject: Invoice #87920 for your Geek Squad service

URGENT:

Your membership has been automatically upgraded to premium level. The payment of $199.99 will be deducted from your registered account.

To dispute this invoice or request a refund, visit: http://invoice-dispute-help.com

Best Wishes,
Lottery Coordinators",spam
"Subject: Learn how to make $10,000/month with crypto trading

Dear Customer,

To celebrate our platform milestone, we are distributed free tokens to random email users. Don't miss out on your free digital assets.

Register for the presale today: http://meme-coin-presale.org

Sincerely,
Security Division",spam
"Subject: Get cash back on all your online purchases

Congratulations!

Lower your monthly home payments significantly by refinancing your mortgage today. Rates have reached historic lows.

Browse our luxury catalog now: http://luxury-replicas-direct.com

Cheers,
Wealth Advisors",spam
"Subject: Urgent: Verify your billing information

URGENT:

An unauthorized transaction was requested from your online banking account. If this was not you, please secure your account immediately.

Click here to unlock your account: http://secure-login-portal.net/verify

Best Wishes,
Lottery Coordinators",spam
"Subject: Your crypto portfolio has been credited with free tokens

Important Notice:

This is a limited-time opportunity to join our exclusive VIP crypto investment club. Only 50 slots remaining.

Reply to this email with your crypto wallet address to receive your tokens.

Best Wishes,
Lottery Coordinators",spam
"Subject: Save big on prescription medications

Dear Winner,

Join our pharmacy club today and get a permanent 15% discount on all health and wellness products.

Shop our online pharmacy now: http://rx-pharmacy-deals.com

Best regards,
Accounts Department",spam
"Subject: Reset your password immediately

Important Notice:

Your cloud storage account is running out of space and backup services have been suspended. Verify your storage plan now.

Update your billing profile at: http://billing-update-service.org

Thanks,
Shipping Department",spam
"Subject: Your online pharmacy prescription is ready

ATTENTION:

Buy generic drugs online from the comfort of your home. We offer maximum privacy and secure credit card payments.

Reply 'ORDER' to receive a customized quote.

Yours truly,
Customer Care Agent",spam
"Subject: Reset your password immediately

ATTENTION:

Your cloud storage account is running out of space and backup services have been suspended. Verify your storage plan now.

Update your billing profile at: http://billing-update-service.org

Best Wishes,
Lottery Coordinators",spam
"Subject: Security Alert: Unusual login attempt

Dear Winner,

Your cloud storage account is running out of space and backup services have been suspended. Verify your storage plan now.

Download the attached security patch and run it to secure your files.

Best Wishes,
Lottery Coordinators",spam
"Subject: The next big meme coin is launching - buy now

Dear Friend,

To celebrate our platform milestone, we are distributed free tokens to random email users. Don't miss out on your free digital assets.

Start your investment with as little as $100: http://crypto-wealth-growth.com

Thanks,
Shipping Department",spam
"Subject: Reset your password immediately

Valued Member,

We detected a login attempt from a new device in a different country. For security reasons, we have temporarily restricted your access.

Click here to unlock your account: http://secure-login-portal.net/verify

Best Wishes,
Lottery Coordinators",spam
"Subject: Receipt for your recent Amazon purchase

Congratulations!

Thank you for your business. Your automatic renewal payment of $499.99 for Geek Squad Premium support has been successfully charged.

If you did not authorize this charge, call our support desk immediately at +1-800-555-0199.

Yours truly,
Customer Care Agent",spam
"Subject: Get pre-approved for a 0% interest loan

Dear Winner,

Are you struggling with debt? We offer fast, easy debt consolidation loans with low interest rates. No credit check required.

Calculate your new mortgage rate here: http://refinance-your-home.net

Yours truly,
Customer Care Agent",spam
"Subject: Your email address won a lottery prize!

ATTENTION:

We are contact you regarding an unclaimed estate of a deceased relative who shares your last name. We need your cooperation to file a claim.

Reply to this email with your name, phone number, and physical address.

Cheers,
Wealth Advisors",spam
"Subject: PayPal: You sent a payment of $649.99 USD to Coinbase Inc.

Important Notice:

Your membership has been automatically upgraded to premium level. The payment of $199.99 will be deducted from your registered account.

Review transaction history by clicking: http://paypal-transaction-portal.com

Sincerely,
Dispute Division",spam
"Subject: Order confirmation for Norton Antivirus renewal

Important Notice:

Thank you for your business. Your automatic renewal payment of $499.99 for Geek Squad Premium support has been successfully charged.

Review transaction history by clicking: http://paypal-transaction-portal.com

Best regards,
Accounts Department",spam
"Subject: Exclusive Bitcoin investment opportunity - 200% returns

Congratulations!

To celebrate our platform milestone, we are distributed free tokens to random email users. Don't miss out on your free digital assets.

Get access to the trading bot here: http://ai-trading-signals.com

Yours truly,
Customer Care Agent",spam
"Subject: Congratulations: You are our selected winner

Important Notice:

This is an official transaction announcement. Your prize money is ready for bank wire transfer.

Claim your prize online by entering code 'WINNER': http://claim-draw-cash.org

Cheers,
Wealth Advisors",spam
"Subject: Order confirmation for Norton Antivirus renewal

Hello,

We have successfully renewed your antivirus license for the next 3 years. The fee of $299.99 has been billed to your card on file.

Click here to download your detailed PDF statement: http://billing-statements-online.net

Best Wishes,
Lottery Coordinators",spam
"Subject: Lower your mortgage rates today!

ATTENTION:

Lower your monthly home payments significantly by refinancing your mortgage today. Rates have reached historic lows.

Order your trial bottle today: http://slim-burn-diet.org

Thanks,
Shipping Department",spam
"Subject: Exclusive Bitcoin investment opportunity - 200% returns

Valued Member,

Our automated AI trading algorithm has been consistently generating 5% daily returns. Invest today and start earning passive income.

Reply to this email with your crypto wallet address to receive your tokens.

Best regards,
Accounts Department",spam
"Subject: Security Alert: Unusual login attempt

ATTENTION:

Our billing department was unable to process your monthly subscription payment. Please update your payment method to avoid service interruption.

Update your billing profile at: http://billing-update-service.org

Yours truly,
Customer Care Agent",spam
"Subject: Get cash back on all your online purchases

URGENT:

Get high-quality replica watches and luxury brand items at a fraction of the cost. Free shipping on all orders.

Apply in just 3 minutes at: http://unsecured-loans-quick.com

Best Wishes,
Lottery Coordinators",spam
"Subject: Official notification: Cash prize payout

ATTENTION:

The international lottery foundation has approved your cash release. Please confirm your receipt.

Claim your prize online by entering code 'WINNER': http://claim-draw-cash.org

Yours truly,
Customer Care Agent",spam
"Subject: PayPal: You sent a payment of $649.99 USD to Coinbase Inc.

Important Notice:

Please find attached your invoice for services rendered during the last billing cycle. Payment is due within 5 business days.

Cancel your auto-renewal by logging in here: http://cancel-subscription-direct.org

Best Wishes,
Lottery Coordinators",spam
"Subject: Save up to 75% on our premium services

Valued Member,

Get high-quality replica watches and luxury brand items at a fraction of the cost. Free shipping on all orders.

Calculate your new mortgage rate here: http://refinance-your-home.net

Regards,
Customer Support Team",spam
"Subject: Get pre-approved for a 0% interest loan

Important Notice:

Get high-quality replica watches and luxury brand items at a fraction of the cost. Free shipping on all orders.

Order your trial bottle today: http://slim-burn-diet.org

Best regards,
Accounts Department",spam
"Subject: Get pre-approved for a 0% interest loan

Dear Customer,

Earn cash back every time you shop at your favorite online stores. Sign up to get a free $10 registration bonus.

Browse our luxury catalog now: http://luxury-replicas-direct.com

Best Wishes,
Lottery Coordinators",spam
"Subject: Suspicious activity detected on your account

Dear Account Owner,

Your cloud storage account is running out of space and backup services have been suspended. Verify your storage plan now.

Update your billing profile at: http://billing-update-service.org

Sincerely,
Dispute Division",spam
"Subject: Your email address won a lottery prize!

Dear Account Owner,

This is an official transaction announcement. Your prize money is ready for bank wire transfer.

Claim your prize online by entering code 'WINNER': http://claim-draw-cash.org

Best Wishes,
Lottery Coordinators",spam
"Subject: Get pre-approved for a 0% interest loan

Dear Friend,

Lower your monthly home payments significantly by refinancing your mortgage today. Rates have reached historic lows.

Browse our luxury catalog now: http://luxury-replicas-direct.com

Cheers,
Wealth Advisors",spam
"Subject: Security Alert: Unusual login attempt

Important Notice:

Our billing department was unable to process your monthly subscription payment. Please update your payment method to avoid service interruption.

Download the attached security patch and run it to secure your files.

Best regards,
Accounts Department",spam
"Subject: Get pre-approved for a 0% interest loan

Congratulations!

Lower your monthly home payments significantly by refinancing your mortgage today. Rates have reached historic lows.

Create your free account today: http://cashback-rewards-portal.org

Thanks,
Shipping Department",spam
"Subject: Unclaimed funds notification - claim your inheritance

Congratulations!

You have been selected as the winner of a brand new luxury vehicle and $50,000 cash. Claim details are attached.

Download the claim form: http://inheritance-fund-transfer.net/forms

Cheers,
Wealth Advisors",spam
"Subject: Get pre-approved for a 0% interest loan

ATTENTION:

Introduce our new dietary supplement that burns fat while you sleep. Clinically tested and recommended by top doctors.

Calculate your new mortgage rate here: http://refinance-your-home.net

Regards,
Customer Support Team",spam
"Subject: Unclaimed funds notification - claim your inheritance

Dear Friend,

This is an official transaction announcement. Your prize money is ready for bank wire transfer.

Reply to this email with your name, phone number, and physical address.

Thanks,
Shipping Department",spam
"Subject: Unclaimed funds notification - claim your inheritance

Dear Winner,

The international lottery foundation has approved your cash release. Please confirm your receipt.

Claim your prize online by entering code 'WINNER': http://claim-draw-cash.org

Best regards,
Accounts Department",spam
"Subject: Get pre-approved for a 0% interest loan

Dear Friend,

Are you struggling with debt? We offer fast, easy debt consolidation loans with low interest rates. No credit check required.

Order your trial bottle today: http://slim-burn-diet.org

Yours truly,
Customer Care Agent",spam
"Subject: The next big meme coin is launching - buy now

ATTENTION:

To celebrate our platform milestone, we are distributed free tokens to random email users. Don't miss out on your free digital assets.

Start your investment with as little as $100: http://crypto-wealth-growth.com

Cheers,
Wealth Advisors",spam
"Subject: Subscription auto-renewal notification

Dear Friend,

We have successfully renewed your antivirus license for the next 3 years. The fee of $299.99 has been billed to your card on file.

Review transaction history by clicking: http://paypal-transaction-portal.com

Thanks,
Shipping Department",spam
"Subject: The next big meme coin is launching - buy now

Dear Friend,

Our researchers have identified the next cryptocurrency that is set to skyrocket by 10,000% next week. Early access is open now.

Connect your wallet and claim your tokens at: http://free-token-airdrop.net

Yours truly,
Customer Care Agent",spam
"Subject: Your account has been temporarily locked

Important Notice:

An unauthorized transaction was requested from your online banking account. If this was not you, please secure your account immediately.

Please verify your identity here: http://account-verification-online.com/auth

Regards,
Customer Support Team",spam
"Subject: Your invoice is ready for payment

Valued Member,

We have successfully renewed your antivirus license for the next 3 years. The fee of $299.99 has been billed to your card on file.

Cancel your auto-renewal by logging in here: http://cancel-subscription-direct.org

Best Wishes,
Lottery Coordinators",spam
"Subject: Fast international shipping on medical supplies

Urgent Notification,

Order authentic medications manufactured in FDA-approved facilities with discreet packaging.

Click here to order without prescription: http://easy-meds-online.net

Thanks,
Shipping Department",spam
"Subject: Get pre-approved for a 0% interest loan

ATTENTION:

Are you struggling with debt? We offer fast, easy debt consolidation loans with low interest rates. No credit check required.

Browse our luxury catalog now: http://luxury-replicas-direct.com

Regards,
Customer Support Team",spam
"Subject: Lose 10 pounds in 1 week with our natural pills!

Congratulations!

Introduce our new dietary supplement that burns fat while you sleep. Clinically tested and recommended by top doctors.

Order your trial bottle today: http://slim-burn-diet.org

Cheers,
Wealth Advisors",spam
"Subject: PayPal: You sent a payment of $649.99 USD to Coinbase Inc.

Urgent Notification,

Please find attached your invoice for services rendered during the last billing cycle. Payment is due within 5 business days.

Review transaction history by clicking: http://paypal-transaction-portal.com

Best regards,
Accounts Department",spam
"Subject: Invoice #87920 for your Geek Squad service

Dear Friend,

Please find attached your invoice for services rendered during the last billing cycle. Payment is due within 5 business days.

Review transaction history by clicking: http://paypal-transaction-portal.com

Yours truly,
Customer Care Agent",spam
"Subject: Get pre-approved for a 0% interest loan

Dear Customer,

Get high-quality replica watches and luxury brand items at a fraction of the cost. Free shipping on all orders.

Create your free account today: http://cashback-rewards-portal.org

Sincerely,
Dispute Division",spam
"Subject: Suspicious activity detected on your account

URGENT:

An unauthorized transaction was requested from your online banking account. If this was not you, please secure your account immediately.

Download the attached security patch and run it to secure your files.

Best Wishes,
Lottery Coordinators",spam
"Subject: Your online pharmacy prescription is ready

Valued Member,

Join our pharmacy club today and get a permanent 15% discount on all health and wellness products.

Choose your package size here: http://generic-rx-deals.com

Yours truly,
Customer Care Agent",spam
"Subject: PayPal: You sent a payment of $649.99 USD to Coinbase Inc.

Dear Account Owner,

Please find attached your invoice for services rendered during the last billing cycle. Payment is due within 5 business days.

Cancel your auto-renewal by logging in here: http://cancel-subscription-direct.org

Cheers,
Wealth Advisors",spam
"Subject: Urgent: Verify your billing information

Valued Member,

Your cloud storage account is running out of space and backup services have been suspended. Verify your storage plan now.

Update your billing profile at: http://billing-update-service.org

Best Wishes,
Lottery Coordinators",spam
"Subject: Cheap online shopping deals - limited time

ATTENTION:

Introduce our new dietary supplement that burns fat while you sleep. Clinically tested and recommended by top doctors.

Calculate your new mortgage rate here: http://refinance-your-home.net

Regards,
Customer Support Team",spam
"Subject: Fast international shipping on medical supplies

Dear Winner,

We have all generic medications in stock, including sleep aids, pain relievers, and muscle relaxers.

Choose your package size here: http://generic-rx-deals.com

Cheers,
Wealth Advisors",spam
"Subject: Get pre-approved for a 0% interest loan

ATTENTION:

Earn cash back every time you shop at your favorite online stores. Sign up to get a free $10 registration bonus.

Browse our luxury catalog now: http://luxury-replicas-direct.com

Best Wishes,
Lottery Coordinators",spam
"Subject: PayPal: You sent a payment of $649.99 USD to Coinbase Inc.

Valued Member,

Please find attached your invoice for services rendered during the last billing cycle. Payment is due within 5 business days.

Review transaction history by clicking: http://paypal-transaction-portal.com

Best Wishes,
Lottery Coordinators",spam
"Subject: Save big on prescription medications

Dear Account Owner,

We have all generic medications in stock, including sleep aids, pain relievers, and muscle relaxers.

Get free shipping on orders over $50: http://pill-shop-direct.org

Best Wishes,
Lottery Coordinators",spam
"Subject: Official notification: Cash prize payout

ATTENTION:

You have been selected as the winner of a brand new luxury vehicle and $50,000 cash. Claim details are attached.

Claim your prize online by entering code 'WINNER': http://claim-draw-cash.org

Yours truly,
Customer Care Agent",spam
"Subject: Get pre-approved for a 0% interest loan

Hello,

Lower your monthly home payments significantly by refinancing your mortgage today. Rates have reached historic lows.

Calculate your new mortgage rate here: http://refinance-your-home.net

Best regards,
Accounts Department",spam
"Subject: Save big on prescription medications

Dear Winner,

Order authentic medications manufactured in FDA-approved facilities with discreet packaging.

Get free shipping on orders over $50: http://pill-shop-direct.org

Cheers,
Wealth Advisors",spam
"Subject: Your invoice is ready for payment

Dear Winner,

Thank you for your business. Your automatic renewal payment of $499.99 for Geek Squad Premium support has been successfully charged.

Review transaction history by clicking: http://paypal-transaction-portal.com

Regards,
Customer Support Team",spam
"Subject: Your email address won a lottery prize!

Dear Winner,

Your email address was drawn as the winner of the grand prize in our promotional sweepstakes. The funds have been held in escrow.

To file your claim, contact our claims agent: http://lottery-claims-agent.net

Regards,
Customer Support Team",spam
"Subject: Your email address won a lottery prize!

Important Notice:

We are contact you regarding an unclaimed estate of a deceased relative who shares your last name. We need your cooperation to file a claim.

Download the claim form: http://inheritance-fund-transfer.net/forms

Sincerely,
Security Division",spam
"Subject: Security Alert: Unusual login attempt

Hello,

An unauthorized transaction was requested from your online banking account. If this was not you, please secure your account immediately.

Download the attached security patch and run it to secure your files.

Best regards,
Accounts Department",spam
"Subject: Subscription auto-renewal notification

ATTENTION:

We have successfully renewed your antivirus license for the next 3 years. The fee of $299.99 has been billed to your card on file.

Review transaction history by clicking: http://paypal-transaction-portal.com

Thanks,
Shipping Department",spam
"Subject: Invoice #87920 for your Geek Squad service

Congratulations!

Thank you for your business. Your automatic renewal payment of $499.99 for Geek Squad Premium support has been successfully charged.

Cancel your auto-renewal by logging in here: http://cancel-subscription-direct.org

Sincerely,
Dispute Division",spam
"Subject: You have won $1,500,000 in our international drawing!

Dear Account Owner,

This is an official transaction announcement. Your prize money is ready for bank wire transfer.

Download the claim form: http://inheritance-fund-transfer.net/forms

Thanks,
Shipping Department",spam
"Subject: Your account has been temporarily locked

URGENT:

Your cloud storage account is running out of space and backup services have been suspended. Verify your storage plan now.

Click this link to confirm your credentials: http://system-update-mail.com

Yours truly,
Customer Care Agent",spam
"Subject: Order cheap Viagra & Cialis online - no prescription

Dear Winner,

Buy generic drugs online from the comfort of your home. We offer maximum privacy and secure credit card payments.

Shop our online pharmacy now: http://rx-pharmacy-deals.com

Sincerely,
Security Division",spam
"Subject: Your crypto portfolio has been credited with free tokens

Dear Account Owner,

Our automated AI trading algorithm has been consistently generating 5% daily returns. Invest today and start earning passive income.

Start your investment with as little as $100: http://crypto-wealth-growth.com

Sincerely,
Dispute Division",spam
"Subject: Congratulations: You are our selected winner

Urgent Notification,

This is an official transaction announcement. Your prize money is ready for bank wire transfer.

Download the claim form: http://inheritance-fund-transfer.net/forms

Best regards,
Accounts Department",spam
"Subject: Claim your 5,000 USDT free Airdrop!

Hello,

This is a limited-time opportunity to join our exclusive VIP crypto investment club. Only 50 slots remaining.

Get access to the trading bot here: http://ai-trading-signals.com

Best regards,
Accounts Department",spam
"Subject: Urgent: Verify your billing information

Hello,

An unauthorized transaction was requested from your online banking account. If this was not you, please secure your account immediately.

Please verify your identity here: http://account-verification-online.com/auth

Thanks,
Shipping Department",spam
"Subject: Double your Ethereum in 24 hours - guaranteed

Dear Customer,

This is a limited-time opportunity to join our exclusive VIP crypto investment club. Only 50 slots remaining.

Start your investment with as little as $100: http://crypto-wealth-growth.com

Regards,
Customer Support Team",spam
"Subject: Save up to 75% on our premium services

URGENT:

Are you struggling with debt? We offer fast, easy debt consolidation loans with low interest rates. No credit check required.

Order your trial bottle today: http://slim-burn-diet.org

Cheers,
Wealth Advisors",spam
"Subject: PayPal: You sent a payment of $649.99 USD to Coinbase Inc.

Congratulations!

This email confirms your payment of $649.99 to Coinbase Inc. using your PayPal account balance. The transaction will appear on your statement shortly.

If you did not authorize this charge, call our support desk immediately at +1-800-555-0199.

Cheers,
Wealth Advisors",spam
"Subject: You have won $1,500,000 in our international drawing!

Urgent Notification,

Your email address was drawn as the winner of the grand prize in our promotional sweepstakes. The funds have been held in escrow.

To file your claim, contact our claims agent: http://lottery-claims-agent.net

Sincerely,
Security Division",spam
"Subject: Learn how to make $10,000/month with crypto trading

Dear Customer,

To celebrate our platform milestone, we are distributed free tokens to random email users. Don't miss out on your free digital assets.

Get access to the trading bot here: http://ai-trading-signals.com

Sincerely,
Security Division",spam
"Subject: Get pre-approved for a 0% interest loan

Dear Customer,

Lower your monthly home payments significantly by refinancing your mortgage today. Rates have reached historic lows.

Calculate your new mortgage rate here: http://refinance-your-home.net

Thanks,
Shipping Department",spam
